Row Labels,Outstanding,Inbox,GPNA,REQS ,Todays Total,,,,,,,,,,
1/20/2020 13:47,55,30,14,11,92,,,,,,,,,,
1/20/2020 13:54,55,30,14,11,94,,,,,,,,,,
1/20/2020 14:07,59,33,15,11,96,,,,,,,,,,
1/20/2020 14:14,60,34,15,11,97,,,,,,,,,,
1/20/2020 14:27,61,34,15,12,97,,,,,,,,,,
1/20/2020 14:33,62,34,16,12,98,,,,,,,,,,
1/20/2020 14:47,62,34,16,12,98,,,,,,,,,,
1/20/2020 15:17,59,36,12,11,100,,,,,,,,,,
1/20/2020 15:41,65,40,12,13,101,,,,,,,,,,
1/20/2020 15:43,65,40,12,13,101,,,,,,,,,,
1/20/2020 16:02,65,40,12,13,101,,,,,,,,,,
1/20/2020 16:03,65,40,12,13,101,,,,,,,,,,
1/20/2020 16:27,59,42,12,5,102,,,,,,,,,,
1/20/2020 16:34,59,42,12,5,102,,,,,,,,,,
1/20/2020 16:58,61,44,12,5,103,,,,,,,,,,
1/20/2020 17:13,61,44,12,5,103,,,,,,,,,,
1/21/2020 7:07,70,47,17,6,4,,,,,,,,,,
1/21/2020 7:13,70,47,17,6,4,,,,,,,,,,
1/21/2020 7:34,70,47,17,6,5,,,,,,,,,,
1/21/2020 7:47,73,48,18,7,7,,,,,,,,,,
1/21/2020 7:53,75,49,19,7,13,,,,,,,,,,
1/21/2020 8:07,78,49,20,9,21,,,,,,,,,,
1/21/2020 8:13,79,49,21,9,26,,,,,,,,,,
1/21/2020 8:33,77,49,19,9,30,,,,,,,,,,
1/21/2020 8:48,87,50,19,18,31,,,,,,,,,,
1/21/2020 8:53,87,50,19,18,32,,,,,,,,,,
1/21/2020 9:07,93,51,21,21,34,,,,,,,,,,
1/21/2020 9:13,93,51,21,21,34,,,,,,,,,,
1/21/2020 9:27,83,53,21,9,36,,,,,,,,,,
1/21/2020 9:33,84,54,21,9,39,,,,,,,,,,
1/21/2020 9:47,85,55,21,9,41,,,,,,,,,,
1/21/2020 9:54,85,55,21,9,41,,,,,,,,,,
1/21/2020 10:07,94,59,22,13,42,,,,,,,,,,
1/21/2020 10:13,94,59,22,13,42,,,,,,,,,,
1/21/2020 10:27,98,61,26,11,48,,,,,,,,,,
1/21/2020 10:33,98,61,26,11,51,,,,,,,,,,
1/21/2020 10:47,104,63,30,11,55,,,,,,,,,,
1/21/2020 10:53,102,63,28,11,55,,,,,,,,,,
1/21/2020 11:08,100,64,25,11,60,,,,,,,,,,
1/21/2020 11:13,101,64,26,11,60,,,,,,,,,,
1/21/2020 11:27,99,64,24,11,63,,,,,,,,,,
1/21/2020 11:33,96,64,21,11,63,,,,,,,,,,
1/21/2020 11:47,102,64,22,16,66,,,,,,,,,,
1/21/2020 11:53,102,64,22,16,67,,,,,,,,,,
1/21/2020 12:07,99,64,22,13,67,,,,,,,,,,
1/21/2020 12:14,99,64,22,13,67,,,,,,,,,,
1/21/2020 12:27,99,64,22,13,69,,,,,,,,,,
1/21/2020 12:33,99,64,22,13,69,,,,,,,,,,
1/21/2020 12:47,99,64,23,12,69,,,,,,,,,,
1/21/2020 12:53,100,64,24,12,72,,,,,,,,,,
1/21/2020 13:07,103,65,25,13,73,,,,,,,,,,
1/21/2020 13:17,103,65,25,13,74,,,,,,,,,,
1/21/2020 13:47,107,65,25,17,74,,,,,,,,,,
1/21/2020 13:53,111,67,27,17,76,,,,,,,,,,
1/21/2020 14:07,117,68,29,20,78,,,,,,,,,,
1/21/2020 14:13,117,68,29,20,78,,,,,,,,,,
1/21/2020 14:33,117,68,29,20,79,,,,,,,,,,
1/21/2020 14:47,111,68,30,13,81,,,,,,,,,,
1/21/2020 14:53,113,69,31,13,81,,,,,,,,,,
1/21/2020 15:07,119,72,33,14,83,,,,,,,,,,
1/21/2020 15:13,120,73,33,14,83,,,,,,,,,,
1/21/2020 15:27,124,78,33,13,90,,,,,,,,,,
1/21/2020 15:34,126,81,32,13,93,,,,,,,,,,
1/21/2020 15:47,129,91,26,12,98,,,,,,,,,,
1/21/2020 15:53,126,91,23,12,99,,,,,,,,,,
1/21/2020 16:07,129,91,25,13,100,,,,,,,,,,
1/21/2020 16:13,129,91,25,13,100,,,,,,,,,,
1/21/2020 16:27,123,91,22,10,106,,,,,,,,,,
1/21/2020 16:33,124,92,22,10,107,,,,,,,,,,
1/21/2020 16:53,129,94,25,10,113,,,,,,,,,,
1/21/2020 17:13,132,96,26,10,115,,,,,,,,,,
1/21/2020 17:23,133,97,26,10,116,,,,,,,,,,
1/21/2020 17:37,133,97,26,10,116,,,,,,,,,,
1/21/2020 17:43,133,97,26,10,116,,,,,,,,,,
1/22/2020 7:03,142,103,29,10,2,,,,,,,,,,
1/22/2020 7:17,151,104,31,16,4,,,,,,,,,,
1/22/2020 7:23,151,104,31,16,5,,,,,,,,,,
1/22/2020 7:43,151,104,31,16,5,,,,,,,,,,
1/22/2020 7:57,151,104,31,16,5,,,,,,,,,,
1/22/2020 8:03,152,104,32,16,6,,,,,,,,,,
1/22/2020 8:17,152,104,32,16,10,,,,,,,,,,
1/22/2020 8:23,153,105,32,16,13,,,,,,,,,,
1/22/2020 8:38,146,98,32,16,14,,,,,,,,,,
1/22/2020 8:53,125,76,33,16,27,,,,,,,,,,
1/22/2020 9:13,109,58,35,16,38,,,,,,,,,,
1/22/2020 9:33,113,60,37,16,41,,,,,,,,,,
1/22/2020 9:54,105,50,39,16,46,,,,,,,,,,
1/22/2020 10:13,80,22,42,16,49,,,,,,,,,,
1/22/2020 10:33,64,6,42,16,52,,,,,,,,,,
1/22/2020 10:47,43,0,22,21,56,,,,,,,,,,
1/22/2020 10:53,42,0,21,21,58,,,,,,,,,,
1/22/2020 11:12,34,0,20,14,59,,,,,,,,,,
1/22/2020 11:16,36,2,20,14,60,,,,,,,,,,
1/22/2020 11:26,29,2,13,14,61,,,,,,,,,,
1/22/2020 11:40,25,1,6,18,64,,,,,,,,,,
1/22/2020 11:46,25,0,7,18,65,,,,,,,,,,
1/22/2020 12:00,17,1,8,8,68,,,,,,,,,,
1/22/2020 12:06,10,1,9,8,68,,,,,,,,,,
1/22/2020 12:14,18,1,9,8,68,,,,,,,,,,
1/22/2020 12:19,46,0,12,34,73,,,,,,,,,,
1/22/2020 12:26,46,0,12,34,73,,,,,,,,,,
1/22/2020 12:46,46,0,12,34,73,,,,,,,,,,
1/22/2020 12:54,46,0,12,34,75,,,,,,,,,,
1/22/2020 12:59,51,0,16,35,78,,,,,,,,,,
1/22/2020 13:06,51,0,16,35,79,,,,,,,,,,
1/22/2020 13:10,52,1,16,35,81,,,,,,,,,,
1/22/2020 13:19,53,2,16,35,82,,,,,,,,,,
1/22/2020 13:21,53,2,16,35,82,,,,,,,,,,
1/22/2020 13:26,54,2,17,35,83,,,,,,,,,,
1/22/2020 13:33,54,2,17,35,83,,,,,,,,,,
1/22/2020 13:52,54,4,18,35,83,,,,,,,,,,
1/22/2020 14:04,60,4,18,38,85,,,,,,,,,,
1/22/2020 14:10,59,3,18,38,90,,,,,,,,,,
1/22/2020 14:25,54,0,16,38,94,,,,,,,,,,
1/22/2020 14:26,58,4,16,38,98,,,,,,,,,,
1/22/2020 14:36,59,4,17,38,100,,,,,,,,,,
1/22/2020 14:50,61,4,18,39,101,,,,,,,,,,
1/22/2020 14:56,60,4,17,39,102,,,,,,,,,,
1/22/2020 15:10,70,6,18,46,104,,,,,,,,,,
1/22/2020 15:16,71,7,18,46,106,,,,,,,,,,
1/22/2020 15:30,73,8,18,47,108,,,,,,,,,,
1/22/2020 15:36,65,0,18,47,109,,,,,,,,,,
1/22/2020 15:49,66,0,19,47,109,,,,,,,,,,
1/22/2020 15:56,22,1,21,47,110,,,,,,,,,,
1/22/2020 16:09,70,1,21,48,110,,,,,,,,,,
1/22/2020 16:16,69,0,21,48,114,,,,,,,,,,
1/22/2020 16:29,70,1,21,48,115,,,,,,,,,,
1/22/2020 16:36,71,2,21,48,117,,,,,,,,,,
1/22/2020 16:56,69,0,21,48,117,,,,,,,,,,
1/22/2020 17:16,65,2,15,48,119,,,,,,,,,,
1/22/2020 17:33,60,2,15,43,119,,,,,,,,,,
1/22/2020 17:36,60,2,15,43,119,,,,,,,,,,
1/22/2020 17:46,60,2,15,43,119,,,,,,,,,,
1/22/2020 17:59,60,2,15,43,119,,,,,,,,,,
1/23/2020 7:07,65,5,17,43,1,,,,,,,,,,
1/23/2020 7:13,22,5,17,43,1,,,,,,,,,,
1/23/2020 7:27,65,5,17,43,1,,,,,,,,,,
1/23/2020 7:33,23,6,17,43,2,,,,,,,,,,
1/23/2020 7:47,67,6,17,43,2,,,,,,,,,,
1/23/2020 7:54,24,7,17,43,2,,,,,,,,,,
1/23/2020 8:07,69,7,18,43,4,,,,,,,,,,
1/23/2020 8:13,25,7,18,43,8,,,,,,,,,,
1/23/2020 8:27,71,8,18,43,8,,,,,,,,,,
1/23/2020 8:33,27,9,18,43,14,,,,,,,,,,
1/23/2020 8:47,72,9,18,43,16,,,,,,,,,,
1/23/2020 8:53,75,11,19,43,20,,,,,,,,,,
1/23/2020 9:08,75,12,19,43,22,,,,,,,,,,
1/23/2020 9:13,31,8,23,43,28,,,,,,,,,,
